country,population_2024,population_growthRate,land_area,region,population_density,population_densityMi,Hdi2021,Hdi2020,WorldHappiness2022
India,1441719852,0.00916,3287590,Asia,484.9067,1255.9084,0.633,0.642,3.777
China,1425178782,-0.00035,9706961,Asia,151.2174,391.653,0.768,0.764,5.585
United States,341814420,0.00535,9372610,North America,37.3673,96.7813,0.921,0.92,6.977
Indonesia,279798049,0.00816,1904569,Asia,149.0254,385.9758,0.705,0.709,5.24
Pakistan,245209815,0.01964,881912,Asia,318.0908,823.8551,0.544,0.543,4.516
Nigeria,229152217,0.02389,923768,Africa,251.6027,651.6511,0.535,0.535,4.552
Brazil,217637297,0.00561,8515767,South America,26.039,67.4409,0.754,0.758,6.293
Bangladesh,174701211,0.0101,147570,Asia,1342.1004,3476.0401,0.661,0.655,5.155
Russia,143957079,-0.00337,17098242,Europe,8.7903,22.7668,0.829,0.83,5.459
Ethiopia,129719719,0.02523,1104300,Africa,114.9415,297.6986,0.498,0.498,4.241
Mexico,129388467,0.00726,1964375,North America,66.5596,172.3893,0.758,0.756,6.128
Japan,122631432,-0.00538,377930,Asia,336.4374,871.3729,0.925,0.923,6.039
Philippines,119106224,0.01508,342353,Asia,399.4574,1034.5948,0.699,0.71,5.904
Egypt,114484252,0.01568,1002450,Africa,115.0075,297.8695,0.731,0.734,4.288
Vietnam,99497680,0.00646,331212,Asia,317.4489,822.1926,0.703,0.71,5.485
Turkey,86260417,0.00518,783562,Asia,110.0875,285.1267,0.838,0.833,4.744
Germany,83252474,-0.00051,357114,Europe,238.2795,617.1439,0.942,0.944,7.034
Thailand,71885799,0.00118,513120,Asia,140.707,364.4311,0.8,0.802,5.891
Tanzania,69419073,0.02938,945087,Africa,78.3688,202.9752,0.549,0.548,3.702
United Kingdom,67961439,0.00332,242900,Europe,280.9136,727.5663,0.929,0.924,6.943
France,64881830,0.00193,551695,Europe,118.4933,306.8976,0.903,0.898,6.687
South Africa,61020221,0.01003,1221037,Africa,50.3015,130.2808,0.713,0.727,5.194
Italy,58697744,-0.00294,301336,Europe,198.493,514.0968,0.895,0.889,6.467
Kenya,56203030,0.02001,580367,Africa,98.7508,255.7646,0.575,0.578,4.543
Myanmar,54964694,0.00709,676578,Asia,84.2151,218.1172,0.585,0.6,4.394
Colombia,52340774,0.00491,1141748,South America,47.1751,122.1835,0.752,0.756,5.781
